246
2	444	39.6358
9	450	50.8429
10	452	38.8716
11	453	35.3129
12	454	38.8973
15	455	47.676
17	456	72.808
18	457	82.9638
21	461	53.3104
22	462	43
23	465	43.3359
24	466	40
25	467	25.6905
29	469	41.2311
30	470	43.5201
31	471	66.5282
32	472	77.0714
34	473	64.6297
35	475	76.6094
37	477	68.2276
38	478	80.8084
40	479	29.2233
41	480	39.724
44	481	88.82
45	482	19.8997
46	483	39.4842
47	485	59.6574
49	486	75.71
50	487	75.5645
51	488	42.7083
54	489	51.9615
55	491	80.0062
59	492	32.9242
60	493	32.187
62	494	46.4543
63	496	50.6261
64	497	64.1872
65	498	73.2735
70	500	64.9307
74	503	33.541
78	507	37.6165
80	509	49.3356
82	510	43.8178
83	511	53.0377
84	512	49.4975
85	514	31.3847
87	516	54.1387
88	518	47.7284
98	521	63.8905
101	522	53.6563
103	523	53.1037
104	524	89.0056
105	526	60.9672
106	527	56.5774
107	528	56.2672
108	529	64.7534
111	530	74.8933
115	533	40.025
116	534	39.8748
120	535	34.2199
126	538	49.7795
127	539	54.7449
128	540	73.4507
130	541	46.2709
131	542	45.5961
132	543	60.9836
135	544	45.4313
136	546	40.2492
137	545	51.4198
138	547	53.2823
140	550	59.338
144	553	65.7951
145	554	84.214
146	555	52.1728
149	557	58.8558
150	558	58.2666
152	559	51.0686
153	560	60.7783
155	561	76.3479
156	565	58.0172
158	567	86.8677
159	571	77.1038
161	569	43.8748
162	570	37.6165
163	568	24.3516
164	572	56.356
165	574	43.4281
166	576	58.6345
167	579	62.554
169	580	98.3311
171	582	84.8999
174	583	80.5047
175	584	59.6322
178	590	35.3129
179	591	46.8295
180	592	45.3211
186	596	95.373
198	605	26.9072
199	606	29.5973
204	607	61.7738
205	608	66.0908
206	609	88.5381
207	610	90.7744
208	611	36.0971
209	612	35.8748
216	615	46.669
218	616	47.3286
222	617	45.9456
226	618	68.4836
227	619	55.0273
231	621	48.1871
232	622	59.8247
233	624	31.1769
234	625	26.6083
235	626	24.8998
236	627	45.8039
238	630	36.7967
242	632	94.3928
246	635	83.9107
248	636	36.7015
249	637	33.8821
250	638	44.0341
251	639	79.1328
252	640	80.1998
253	641	26.1534
255	642	79.7183
256	646	65.261
259	647	72.3118
262	650	56.6392
264	653	98.3107
267	654	61.0901
269	659	27.0185
270	660	37.2022
272	661	33.0151
273	662	49.6085
274	663	53.7122
275	664	63.616
278	665	55.8838
279	667	43.6921
280	671	78.4283
281	672	60.4979
283	674	99.6644
287	675	28.2312
288	676	57.5239
289	679	76.7138
290	677	92.038
291	678	97.7087
292	681	75.4387
293	683	79.6555
296	682	49.6689
299	687	57.3934
301	688	74.8398
302	689	86.151
305	693	80.827
307	694	55.6147
311	697	57.3411
312	696	70.6045
313	700	63.5059
314	699	39.4462
316	702	83.6301
317	703	44.1475
319	704	27.7308
321	707	62.538
322	712	52.45
323	711	69.8498
324	715	69.1014
325	713	77.8588
326	716	33.0757
329	717	41.4005
332	718	50.0999
334	719	64.7148
335	720	52.5547
336	721	49.99
338	722	39.37
339	723	36.3456
340	724	60.8194
341	726	42.0357
346	729	98.6256
347	730	93.8403
348	731	34.3511
349	732	77.2075
350	733	50.5866
352	736	69.7137
353	737	48.8365
354	738	72.5328
355	739	57.5152
357	740	79.1391
358	741	68.7314
359	742	54.0185
360	743	34.5398
361	745	19.9499
364	748	77.6273
365	750	73.3553
366	751	37.0135
368	754	77.3628
369	753	28.7054
370	758	53.5444
371	757	17.6635
372	764	43.8634
373	770	70.9507
374	768	22.1811
375	761	77.3434
376	771	59.4138
377	774	75.3326
378	775	27.4955
379	777	55.4256
381	778	81.9817
382	779	37.5233
386	782	71.1899
388	789	74.5989
389	790	55.6237
390	791	87.3384
391	792	70.0785
392	795	66.3777
393	796	89.8332
394	797	84.9235
396	798	44.7996
400	802	63.1348
401	803	96.026
402	804	59.1608
405	809	46.0217
408	810	59.716
410	814	95.2208
411	816	99.5942
412	818	69.455
413	817	87.47
414	820	23.4947
415	823	61.6685
416	824	62.3458
418	827	40.3361
420	826	92.4608
421	828	68.7532
424	829	45.0888
425	830	21.9773
426	831	22.7596
428	834	39.5348
430	835	67.7495
431	838	38.5746
433	840	79.6681
435	841	60.2246
436	842	69.0072
437	843	51.4587
439	844	78.981
440	850	84.5813
441	847	76.896
442	848	54.6443
